XYZ Variable,TaG Variable,Correlation
z_vel,L-H-Vel_y,-0.5020612087791247
z_vel,R-M-Vel_y,0.4696981553257577
z_vel,L-F-Vel_x,-0.4659963781160587
z_vel,L-H-Vel_x,0.4479248343114068
z_vel,L-M-Vel_y,-0.4442074705622294
x_vel,R-F-Vel_y,-0.44147071628700657
x_vel,R-M-Vel_y,-0.43878690270970533
z_vel,R-F-Vel_y,0.3878700431360786
x_vel,L-F-Vel_y,-0.3715110445010343
x_vel,L-F-Vel_z,0.3686166378259706
y_vel,L-M-Vel_z,0.35058551333301097
z_vel,L-M-Vel_x,-0.33598357017724034
z_vel,R-F-Vel_x,-0.3315969286517103
x_vel,R-F-Vel_z,0.3277861030403519
y_vel,R-M-Vel_x,0.3013990358403682
